"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2025-03-09 14:08:49";"Push";"4543";"Bench Press (Barbell)";"1";"61.23492";"5";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Bench Press (Barbell)";"2";"61.23492";"5";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Bench Press (Barbell)";"3";"61.23492";"5";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Bench Press (Barbell)";"4";"61.23492";"5";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Ohio State";"1";"11.3398";"10";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Ohio State";"2";"11.3398";"10";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Ohio State";"3";"11.3398";"10";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Chin Up";"1";"0.0";"5";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Chin Up";"2";"0.0";"5";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Chin Up";"3";"0.0";"2";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Pec Deck (Machine)";"1";"24.040376";"8";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Pec Deck (Machine)";"2";"24.040376";"8";"";"";"";"";""
"1";"2025-03-09 14:08:49";"Push";"4543";"Pec Deck (Machine)";"3";"24.040376";"8";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Bicep Curl (Barbell)";"1";"27.215519999999998";"8";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Bicep Curl (Barbell)";"2";"27.215519999999998";"8";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Bicep Curl (Barbell)";"3";"27.215519999999998";"8";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Bicep Curl (Barbell)";"4";"27.215519999999998";"8";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Iso-Lateral Row (Machine)";"1";"27.215519999999998";"5";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Iso-Lateral Row (Machine)";"2";"27.215519999999998";"8";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Iso-Lateral Row (Machine)";"3";"27.215519999999998";"8";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Pull Up";"1";"0.0";"3";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Pull Up";"2";"0.0";"2";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Pull Up";"3";"0.0";"3";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Hammer Curl (Dumbbell)";"1";"11.3398";"10";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Hammer Curl (Dumbbell)";"2";"11.3398";"10";"";"";"";"";""
"2";"2025-03-10 19:09:01";"Pull";"2956";"Hammer Curl (Dumbbell)";"3";"11.3398";"10";"";"";"";"";""
"3";"2025-03-11 19:04:45";"Push";"3302";"Incline Bench Press (Barbell)";"1";"43.09124";"8";"";"";"";"";""
"3";"2025-03-11 19:04:45";"Push";"3302";"Incline Bench Press (Barbell)";"2";"43.09124";"8";"";"";"";"";""
